position_id,employee_id,title,department,supervisor_id,team_id,direct_reports,team_name,team_hierarchy,employee_id_hierarchy,dependent_team_ids,hierarchy_level,subdept_team_id,subdept_name
P0001,E0001,President & CEO,Executives,,T0001,5,CEO,|T0001|,|E0001|,|T0002|,1,,
P0002,E0002,"VP, Operations",Operations,E0001,T0002,3,Leadership,|T0001|T0002|,|E0001|E0002|,|T0007|,2,,
P0003,E0003,"VP, Finance",Finance,E0001,T0002,4,Leadership,|T0001|T0002|,|E0001|E0003|,|T0003|,2,,
P0004,E0004,"Sr. Director, Retail Operations",Operations,E0002,T0007,3,Operations,|T0001|T0002|T0007|,|E0001|E0002|E0004|,|T0008|,3,T0008,Retail Operations
P0005,E0005,"Manager, Accounting",Finance,E0003,T0003,2,Finance,|T0001|T0002|T0003|,|E0001|E0003|E0005|,|T0004|,3,T0004,Accounting
P0006,E0006,"Director, Retail Stores",Operations,E0004,T0008,3,Retail Operations,|T0001|T0002|T0007|T0008|,|E0001|E0002|E0004|E0006|,|T0009|,4,T0008,Retail Operations
P0007,E0007,"Administrator, Operations",Operations,E0002,T0007,0,Operations,|T0001|T0002|T0007|,|E0001|E0002|E0007|,,3,,
P0008,E0008,"Manager, Financial Planning",Finance,E0003,T0003,1,Finance,|T0001|T0002|T0003|,|E0001|E0003|E0008|,|T0005|,3,T0005,Financial Planning
P0009,E0009,Administrator to the CEO,Executives,E0001,T0002,0,Leadership,|T0001|T0002|,|E0001|E0009|,,2,,
P0010,E0010,"Manager, East Region",Operations,E0006,T0009,3,Retail Stores,|T0001|T0002|T0007|T0008|T0009|,|E0001|E0002|E0004|E0006|E0010|,|T0010|,5,T0008,Retail Operations
P0011,E0011,Store Manager 1,Operations,E0010,T0010,31,East Region,|T0001|T0002|T0007|T0008|T0009|T0010|,|E0001|E0002|E0004|E0006|E0010|E0011|,,6,T0008,Retail Operations
P0012,E0012,"Director, Legal & HR",Legal & HR,E0047,T0021,2,Leadership,|T0001|T0002|T0021|,|E0001|E0047|E0012|,|T0017|,3,,
P0013,E0013,"Manager, Store Maintenance",Operations,E0004,T0008,0,Retail Operations,|T0001|T0002|T0007|T0008|,|E0001|E0002|E0004|E0013|,,4,T0008,Retail Operations
P0014,E0014,"Director, Supply Chain",Operations,E0002,T0007,4,Operations,|T0001|T0002|T0007|,|E0001|E0002|E0014|,|T0011|,3,T0011,Supply Chain
P0015,E0015,"Administrator, Finance",Finance,E0003,T0003,0,Finance,|T0001|T0002|T0003|,|E0001|E0003|E0015|,,3,,
P0016,E0016,"Manager, Advertising & Digital",Marketing,E0022,T0013,1,Marketing,|T0001|T0002|T0013|,|E0001|E0022|E0016|,|T0014|,3,T0014,Advertising & Digital
P0017,E0017,Sr. Accountant,Finance,E0005,T0004,0,Accounting,|T0001|T0002|T0003|T0004|,|E0001|E0003|E0005|E0017|,,4,T0004,Accounting
P0018,E0018,Store Manager 2,Operations,E0010,T0010,16,East Region,|T0001|T0002|T0007|T0008|T0009|T0010|,|E0001|E0002|E0004|E0006|E0010|E0018|,,6,T0008,Retail Operations
P0019,E0019,"Analyst, Financial Planning",Finance,E0008,T0005,0,Financial Planning,|T0001|T0002|T0003|T0005|,|E0001|E0003|E0008|E0019|,,4,T0005,Financial Planning
P0020,E0020,"Manager, PR & External Communications",Marketing,E0022,T0013,0,Marketing,|T0001|T0002|T0013|,|E0001|E0022|E0020|,|T0023|,3,T0023,External Communications
