Q No,Question,Answer,Name,Answer Smash
10,Which animal is frequently confused with the anteater?,Aardvark,Shahzad Zia,Shahzad Ziaardvark
5,Which branch of space science applies the laws of physics and chemistry to explain objects in the universe?,Astrophysics,Amalia García-Vellido Santías,Amalia García-Vellido Santíastrophysics
6,What's the name of the American bookseller founded in 1886?,Barnes & Noble,Owen Barnes,Owen Barnes & Noble
2,Name the famous Sesame Street duo.,Bert and Ernie,Kelly Gilbert,Kelly Gilbert and ernie
19,Which animal has the latin name Ursus arctos?,Brown Bear,Kate Brown,Kate Brown Bear
15,Which British burger chain was founded in 2007?,Byron Burgers,Jonathan Allenby,Jonathan Allenbyron Burgers
17,"Which ghost is often criticised by his 3 wicked uncles, the Ghostly Trio?",Casper the friendly ghost,Pat Lucas,Pat Lucasper the Friendly Ghost
14,Which rodents are slightly larger than squirrels and can travel at speeds of up to 15 mph?,Chinchilla,Carl Allchin,Carl Allchinchilla
8,Which side dish consists mainly of shredded raw cabbage?,Coleslaw,Donna Coles,Donna Coleslaw
3,What are joules or therms an example of?,Energy units,Arsene,Arsenergy units
7,Which British cycle retailer was founded in 1921?,Evans Cycles,Simon Evans,Simon Evans Cycles
11,What's another word for a pickled cucumber?,Gherkin,Nik Eveleigh,Nik Eveleigherkin
20,Which condiment is mostly made from chilli peppers?,Hot Sauce,Vivien Ho,Vivien Hot Sauce
4,What parts of the body contain immune cells to help fight infection?,Lymph nodes,Nicolas Mieszaly,Nicolas Mieszalymph nodes
12,Who's the main antagonist in the film Psycho?,Norman Bates,Jorge Supelano,Jorge Supelanorman Bates
13,In which fish species is it the males who get pregnant?,Seahorse,Tom Prowse,Tom Prowseahorse
1,Which mammal has the latin name panthera uncia?,Snow leopard,Mo Hassn,Mo Hassnow leopard
9,"Who is the a genius, billionaire, playboy, philanthropist who suits up as Iron Man?",Tony Stark,Will Sutton,Will Suttony Stark
16,What's the japanese word for freshwater eel?,Unagi,Rosario Gauna,Rosario Gaunagi
18,Which American company selling furniture was founded in 2002?,Wayfair,Michael Heighway,Michael Heighwayfair
